시간,홈,득점,실점,슈팅,유효슈팅,볼점유율,코너킥,프리킥,오프사이드,파울,경고,퇴장,원정,득점,실점 ,슈팅,유효슈팅,볼점유율,코너킥,프리킥,오프사이드,파울,경고,퇴장
2022-11-28 23:00,브렌트포드,1,0,6,4,41%,3,14,0,8,4,0,에버턴,0,1,8,5,59%,3,8,3,11,3,0
2022-11-28 23:00,레스터 ,4,2,11,7,55%,8,21,5,5,0,0,왓포드,2,4,10,3,45%,6,10,2,19,0,0
2022-11-28 23:00,맨시티,2,1,12,6,69%,8,10,4,7,2,0,웨스트햄,1,2,3,3,31%,4,11,4,6,0,0
2022-11-29 1:30,첼시,1,1,15,5,66%,15,13,2,12,2,0,맨유,1,1,3,2,34%,2,14,1,12,5,0
2022-12-01 4:30,뉴캐슬,1,1,7,1,32%,2,14,0,8,0,1,노리치,1,1,8,2,68%,5,8,3,11,0,0
2022-12-01 5:15,리즈,1,0,7,3,62%,7,15,2,15,5,0,팰리스,0,1,5,1,38%,4,17,0,15,3,0
2022-12-02 4:30,왓포드,1,2,8,6,49%,6,21,3,18,4,0,첼시,2,1,6,4,51%,0,21,5,16,3,0
2022-12-02 4:30,웨스트햄,1,1,11,5,35%,9,8,1,10,1,0,브라이튼,1,1,6,3,65%,5,11,0,8,1,0
2022-12-02 4:30,울버햄튼,0,0,10,3,61%,5,10,1,5,2,0,번리,0,0,6,1,39%,5,6,3,7,3,0
2022-12-02 4:30,사우샘스턴,2,2,9,6,43%,2,13,1,14,1,0,레스터,2,2,10,5,57%,4,15,2,11,3,0
2022-12-02 5:15,아스톤 빌라,1,2,5,3,35%,4,12,1,8,0,0,맨시티,2,1,13,7,65%,10,9,0,12,0,0
2022-12-02 5:15,에버턴,1,4,2,1,43%,3,17,3,8,4,0,리버풀,4,1,13,7,57%,11,11,1,16,3,0
2022-12-03 4:30,토트넘,2,0,6,4,46%,10,9,0,9,0,0,브렌트포드,0,2,6,2,54%,5,9,0,9,0,0
2022-12-03 5:15,맨유,3,2,14,11,47%,3,11,0,9,1,0,아스널,2,3,9,7,53%,8,9,1,10,0,0
2022-12-04 21:30,웨스트햄,3,2,9,4,36%,1,11,3,10,1,0,첼시,2,3,14,10,64%,9,13,1,10,3,0
2022-12-05 0:00,뉴캐슬,1,0,8,3,48%,10,10,0,11,1,0,번리,0,1,6,1,52%,3,11,1,9,1,0
2022-12-05 0:00,사우샘스턴,1,1,8,1,45%,6,12,0,15,4,0,브라이튼,1,1,7,5,55%,2,15,0,12,2,0
2022-12-05 0:00,울버햄튼,0,1,2,1,34%,2,8,7,2,2,0,리버풀,1,0,9,4,66%,8,9,1,7,2,0
2022-12-05 2:30,왓포드,1,3,9,4,22%,5,8,0,10,3,0,맨시티,3,1,19,12,78%,11,10,1,7,0,0
2022-12-05 23:00,리즈,2,2,10,6,62%,5,9,7,11,5,0,브렌트포드,2,2,5,3,38%,1,18,0,9,3,0
2022-12-05 23:00,맨유,1,0,12,5,62%,9,7,3,16,2,0,팰리스,0,1,4,2,38%,6,19,0,7,2,0
2022-12-05 23:00,토트넘,3,0,15,8,41%,6,7,2,8,1,0,노리치,0,3,6,0,59%,4,10,3,4,2,0
2022-12-06 1:30,아스톤 빌라,2,1,7,4,41%,3,25,1,8,1,0,레스터,1,2,8,4,59%,6,9,0,25,1,0
2022-12-07 5:00,에버턴,2,1,4,3,36%,3,13,5,8,2,0,아스널,1,2,4,1,64%,3,13,1,12,2,0
2022-12-11 5:00,브렌트포드,2,1,8,5,63%,8,18,1,12,4,0,왓포드,1,2,5,2,37%,2,13,0,18,0,0
2022-12-11 21:30,맨시티,1,0,15,8,72%,14,5,1,12,3,0,울버햄튼,0,1,2,1,28%,1,13,0,5,3,1
2022-12-12 0:00,아스널,3,0,6,4,62%,9,10,3,5,2,0,사우샘프턴,0,3,3,1,38%,8,8,1,9,0,0
2022-12-12 0:00,첼시,3,2,7,4,50%,5,19,1,9,2,0,리즈,2,3,3,3,50%,2,10,4,15,5,0
2022-12-12 0:00,리버풀,1,0,18,9,63%,11,8,2,13,3,0,아스톤 빌라,0,1,1,1,37%,3,17,1,6,2,0
2022-12-12 2:30,노리치,0,1,6,5,43%,8,18,0,6,1,0,맨유 ,1,0,8,4,57%,6,6,1,17,1,0
2022-12-12 23:00,번리,0,0,5,0,41%,6,12,1,13,3,0,웨스트햄,0,0,9,1,59%,14,14,1,11,1,0
2022-12-12 23:00,레스터 ,4,0,6,4,50%,4,17,0,9,2,0,뉴캐슬,0,4,4,2,50%,6,9,1,16,3,0
